owner,table_name,full_name
APEX_180200,APEX$ARCHIVE_CONTENTS,APEX_180200.APEX$ARCHIVE_CONTENTS
APEX_180200,APEX$ARCHIVE_HEADER,APEX_180200.APEX$ARCHIVE_HEADER
APEX_180200,APEX$ARCHIVE_HISTORY,APEX_180200.APEX$ARCHIVE_HISTORY
APEX_180200,APEX$ARCHIVE_LOG,APEX_180200.APEX$ARCHIVE_LOG
APEX_180200,APEX$ARCHIVE_PREF,APEX_180200.APEX$ARCHIVE_PREF
APEX_180200,APEX$_ACL,APEX_180200.APEX$_ACL
APEX_180200,APEX$_WS_FILES,APEX_180200.APEX$_WS_FILES
APEX_180200,APEX$_WS_HISTORY,APEX_180200.APEX$_WS_HISTORY
APEX_180200,APEX$_WS_LINKS,APEX_180200.APEX$_WS_LINKS
APEX_180200,APEX$_WS_NOTES,APEX_180200.APEX$_WS_NOTES
APEX_180200,APEX$_WS_ROWS,APEX_180200.APEX$_WS_ROWS
APEX_180200,APEX$_WS_TAGS,APEX_180200.APEX$_WS_TAGS
APEX_180200,APEX$_WS_WEBPG_SECTIONS,APEX_180200.APEX$_WS_WEBPG_SECTIONS
APEX_180200,APEX$_WS_WEBPG_SECTION_HISTORY,APEX_180200.APEX$_WS_WEBPG_SECTION_HISTORY
APEX_180200,WWV_COLUMN_EXCEPTIONS,APEX_180200.WWV_COLUMN_EXCEPTIONS
APEX_180200,WWV_CREDENTIALS,APEX_180200.WWV_CREDENTIALS
APEX_180200,WWV_CREDENTIAL_INSTANCES,APEX_180200.WWV_CREDENTIAL_INSTANCES
APEX_180200,WWV_FLOWS,APEX_180200.WWV_FLOWS
APEX_180200,WWV_FLOWS_RESERVED,APEX_180200.WWV_FLOWS_RESERVED
APEX_180200,WWV_FLOW_ACL_GROUP_USERS,APEX_180200.WWV_FLOW_ACL_GROUP_USERS
APEX_180200,WWV_FLOW_ACTIVITY_LOG1$,APEX_180200.WWV_FLOW_ACTIVITY_LOG1$
APEX_180200,WWV_FLOW_ACTIVITY_LOG2$,APEX_180200.WWV_FLOW_ACTIVITY_LOG2$
APEX_180200,WWV_FLOW_ADVISOR_CATEGORIES,APEX_180200.WWV_FLOW_ADVISOR_CATEGORIES
APEX_180200,WWV_FLOW_ADVISOR_CHECKS,APEX_180200.WWV_FLOW_ADVISOR_CHECKS
APEX_180200,WWV_FLOW_ADVISOR_CHECK_MSGS,APEX_180200.WWV_FLOW_ADVISOR_CHECK_MSGS
APEX_180200,WWV_FLOW_APPLICATION_GROUPS,APEX_180200.WWV_FLOW_APPLICATION_GROUPS
APEX_180200,WWV_FLOW_APP_BUILD_PREF,APEX_180200.WWV_FLOW_APP_BUILD_PREF
APEX_180200,WWV_FLOW_APP_COMMENTS,APEX_180200.WWV_FLOW_APP_COMMENTS
APEX_180200,WWV_FLOW_APP_SETTINGS,APEX_180200.WWV_FLOW_APP_SETTINGS
APEX_180200,WWV_FLOW_AUTHENTICATIONS,APEX_180200.WWV_FLOW_AUTHENTICATIONS
APEX_180200,WWV_FLOW_AUTHORIZED_URLS,APEX_180200.WWV_FLOW_AUTHORIZED_URLS
APEX_180200,WWV_FLOW_AUTO_FILE_DELETE_LOG,APEX_180200.WWV_FLOW_AUTO_FILE_DELETE_LOG
APEX_180200,WWV_FLOW_BANNER,APEX_180200.WWV_FLOW_BANNER
APEX_180200,WWV_FLOW_BLUEPRINT_REPO,APEX_180200.WWV_FLOW_BLUEPRINT_REPO
APEX_180200,WWV_FLOW_BUGS,APEX_180200.WWV_FLOW_BUGS
APEX_180200,WWV_FLOW_BUILDER_AUDIT_TRAIL,APEX_180200.WWV_FLOW_BUILDER_AUDIT_TRAIL
APEX_180200,WWV_FLOW_BUILDER_FEATURES,APEX_180200.WWV_FLOW_BUILDER_FEATURES
APEX_180200,WWV_FLOW_BUTTON_TEMPLATES,APEX_180200.WWV_FLOW_BUTTON_TEMPLATES
APEX_180200,WWV_FLOW_CALS,APEX_180200.WWV_FLOW_CALS
APEX_180200,WWV_FLOW_CAL_TEMPLATES,APEX_180200.WWV_FLOW_CAL_TEMPLATES
