owner,table_name,full_name
ALERTING,AGS_DTL_DSS_STATUS,ALERTING.AGS_DTL_DSS_STATUS
ALERTING,AGS_DTL_EVENT_REPOSITORY,ALERTING.AGS_DTL_EVENT_REPOSITORY
ALERTING,AGS_HS_EVENT_REPOSITORY,ALERTING.AGS_HS_EVENT_REPOSITORY
ALERTING,AGS_PL_LOGS,ALERTING.AGS_PL_LOGS
ALERTING,AGS_PL_LOGS_BKP,ALERTING.AGS_PL_LOGS_BKP
ALERTING,AGS_UDR_AUDIT,ALERTING.AGS_UDR_AUDIT
ALERTING,AGS_UDR_BATCH_MASTER,ALERTING.AGS_UDR_BATCH_MASTER
ALERTING,AGS_UDR_EXCEPTION_DETAIL,ALERTING.AGS_UDR_EXCEPTION_DETAIL
ALERTING,AGS_UDR_REPOSITORY,ALERTING.AGS_UDR_REPOSITORY
ALERTING,ALERTING_STATS_TABLE,ALERTING.ALERTING_STATS_TABLE
ALERTING,DPR_THRESHOLD,ALERTING.DPR_THRESHOLD
ALERTING,GCE_REPOSITORY,ALERTING.GCE_REPOSITORY
ALERTING,GCE_UNPROCESSED_REPO,ALERTING.GCE_UNPROCESSED_REPO
ALERTING,GTT_AGS_UDR_STAGING,ALERTING.GTT_AGS_UDR_STAGING
ALERTING,GTT_BM_REPROCESSING,ALERTING.GTT_BM_REPROCESSING
ALERTING,GTT_GCE_STAGING,ALERTING.GTT_GCE_STAGING
ALERTING,GTT_UDR_CYCLE_RESET_STAGING,ALERTING.GTT_UDR_CYCLE_RESET_STAGING
ALERTING,GTT_UDR_STAGING,ALERTING.GTT_UDR_STAGING
ALERTING,JITR_ALERT_REPOSITORY,ALERTING.JITR_ALERT_REPOSITORY
ALERTING,JITR_DROPPED_ALERTS,ALERTING.JITR_DROPPED_ALERTS
ALERTING,JITR_ILD_MDN_USG_ALERT,ALERTING.JITR_ILD_MDN_USG_ALERT
ALERTING,JITR_MSG_PROCESSED_ALERTS,ALERTING.JITR_MSG_PROCESSED_ALERTS
ALERTING,JITR_MSG_RBM_INBOUND_ALERTS,ALERTING.JITR_MSG_RBM_INBOUND_ALERTS
ALERTING,JITR_MSG_SENT_OM_ALERTS,ALERTING.JITR_MSG_SENT_OM_ALERTS
ALERTING,JITR_NOTIFICATIONS,ALERTING.JITR_NOTIFICATIONS
ALERTING,JITR_NOTIFICATION_ERRORS,ALERTING.JITR_NOTIFICATION_ERRORS
ALERTING,JITR_PROCESSED_ALERTS,ALERTING.JITR_PROCESSED_ALERTS
ALERTING,JITR_RBM_INBOUND_ALERTS,ALERTING.JITR_RBM_INBOUND_ALERTS
ALERTING,MTAS_RTR_UC_SEED_INFO,ALERTING.MTAS_RTR_UC_SEED_INFO
ALERTING,MTAS_RTR_UC_SEED_REJECT,ALERTING.MTAS_RTR_UC_SEED_REJECT
ALERTING,MTAS_SEED_ERROR_REQUEST,ALERTING.MTAS_SEED_ERROR_REQUEST
ALERTING,MTAS_SEED_ERROR_REQUEST_BKP,ALERTING.MTAS_SEED_ERROR_REQUEST_BKP
ALERTING,MTAS_SEED_ERROR_REQUEST_OLD,ALERTING.MTAS_SEED_ERROR_REQUEST_OLD
ALERTING,OCS_ALERT_DISPOSITION,ALERTING.OCS_ALERT_DISPOSITION
ALERTING,OCS_ALERT_REPOSITORY,ALERTING.OCS_ALERT_REPOSITORY
ALERTING,PL_LOGS,ALERTING.PL_LOGS
ALERTING,POUND_DATA_DMP,ALERTING.POUND_DATA_DMP
ALERTING,POUND_DATA_DMP_FACT,ALERTING.POUND_DATA_DMP_FACT
ALERTING,POUND_DATA_REQ_PARALLEL,ALERTING.POUND_DATA_REQ_PARALLEL
ALERTING,RECHARGE_EVENT_AUDIT,ALERTING.RECHARGE_EVENT_AUDIT
ALERTING,RTR_ALERT_REPOSITORY,ALERTING.RTR_ALERT_REPOSITORY
